index	max_degree	fail_node_degree	fail_neber_degree	fail_degree_sum	max_load	big_load_num	fail_load_sum	fail_num	first_round_fail	neber_fail_num	fail_round	subgraph_num	fail_node_load	load_change	degree_change	fail_neber_load	LCC
32,46,	96	14	2	16	48331	48	1444	1	1	1	1	1	1437	7364	32	7	2	
32,47,	95	15	2	17	48065	47	3789	1	1	1	1	1	3782	9277	34	7	2	
32,48,	96	13	2	15	48327	48	1444	1	1	1	1	1	1437	7157	30	7	2	
32,49,	96	13	2	15	48327	48	1444	1	1	1	1	1	1437	7157	30	7	2	
32,50,	95	23	2	25	48209	47	3674	1	1	1	1	1	3667	9857	50	7	2	
32,51,	96	13	2	15	48327	48	1444	1	1	1	1	1	1437	7157	30	7	2	
32,52,	96	29	2	31	48149	47	5655	1	1	1	1	5	5648	19954	62	7	2	
32,53,	96	26	2	28	48427	47	6921	1	1	1	1	1	6914	12748	56	7	2	
32,54,	96	14	2	16	48327	48	1444	1	1	1	1	1	1437	7365	32	7	2	
32,55,	96	14	2	16	48371	48	1862	1	1	1	1	1	1855	7085	32	7	2	
32,56,	94	30	10	40	47078	48	9711	3	3	3	1	4	9308	23434	78	403	2	
32,57,	96	17	2	19	48327	48	1935	1	1	1	1	2	1928	9974	38	7	2	
32,58,	96	14	2	16	48327	48	1731	1	1	1	1	1	1724	7443	32	7	2	
32,59,	95	14	2	16	48010	48	1444	1	1	1	1	1	1437	7191	32	7	2	
32,60,	96	16	2	18	48407	48	2478	1	1	1	1	1	2471	7733	36	7	2	
32,61,	95	16	2	18	48073	48	1649	1	1	1	1	1	1642	7525	36	7	2	
32,62,	95	21	2	23	48175	48	1887	1	1	1	1	1	1880	7868	46	7	2	
32,63,	95	15	2	17	47581	48	1935	1	1	1	1	2	1928	9420	34	7	2	
32,64,	96	18	5	23	48139	48	3048	2	2	2	1	3	2817	15507	46	231	2	
32,65,	96	14	2	16	48332	48	2204	1	1	1	1	1	2197	7732	32	7	2	
32,66,	96	13	2	15	48327	48	1444	1	1	1	1	1	1437	7157	30	7	2	
32,67,	96	13	2	15	48327	48	1444	1	1	1	1	1	1437	7157	30	7	2	
32,68,	94	56	66	124	44912	39	23893	19	19	18	1	10	14712	108444	230	9060	0	
32,69,	96	13	2	15	48334	47	1444	1	1	1	1	1	1437	9459	30	7	2	
32,70,	96	16	2	18	48124	45	2531	1	1	1	1	3	2524	16919	36	7	2	
32,71,	96	14	2	16	48354	48	1532	1	1	1	1	1	1525	7967	32	7	2	
32,72,	96	18	6	26	47911	47	3447	3	3	2	1	4	2965	21293	52	361	2	
32,73,	96	16	2	18	48343	47	1798	1	1	1	1	1	1791	9220	36	7	2	
32,74,	96	13	2	15	48366	48	1444	1	1	1	1	1	1437	7687	30	7	2	
32,75,	96	20	2	22	48066	47	5446	1	1	1	1	5	5439	18204	44	7	2	
32,76,	96	14	2	16	48395	48	1444	1	1	1	1	1	1437	8446	32	7	2	
32,77,	96	13	2	15	48318	48	1444	1	1	1	1	1	1437	7071	30	7	2	
32,78,	95	13	2	15	47952	48	1444	1	1	1	1	1	1437	7051	30	7	2	
32,79,	96	14	2	16	48333	47	1515	1	1	1	1	1	1508	9585	32	7	2	
32,80,	96	15	2	17	48318	48	1980	1	1	1	1	1	1973	7929	34	7	2	
32,81,	96	14	2	16	48395	48	1444	1	1	1	1	1	1437	8446	32	7	2	
32,82,	96	14	2	16	48262	48	1444	1	1	1	1	1	1437	7745	32	7	2	
32,83,	96	15	2	17	48319	48	1784	1	1	1	1	1	1777	7429	34	7	2	
32,84,	96	22	11	33	47752	46	4700	4	4	4	1	3	3707	20463	60	993	2	
32,85,	96	16	2	18	48359	47	1701	1	1	1	1	1	1694	9213	36	7	2	
32,86,	96	14	2	16	48353	47	1617	1	1	1	1	1	1610	8950	32	7	2	
32,87,	96	17	2	19	48098	48	2871	1	1	1	1	3	2864	11702	38	7	2	
32,88,	96	13	2	15	48239	48	1444	1	1	1	1	1	1437	7855	30	7	2	
32,89,	96	13	2	15	48333	47	1444	1	1	1	1	1	1437	9040	30	7	2	
32,90,	94	40	4	44	47900	47	6469	2	2	2	1	2	6243	16169	86	226	2	
32,91,	96	13	2	15	48384	48	1444	1	1	1	1	1	1437	8150	30	7	2	
32,92,	96	15	2	17	48233	47	1664	1	1	1	1	1	1657	8313	34	7	2	
32,93,	95	22	5	29	47525	47	3911	3	3	2	1	2	3427	13000	56	266	2	
32,94,	96	13	2	15	48243	48	1444	1	1	1	1	1	1437	7812	30	7	2	
32,95,	96	13	2	15	48318	48	1444	1	1	1	1	1	1437	7071	30	7	2	
32,96,	96	13	2	15	48334	47	1444	1	1	1	1	1	1437	9459	30	7	2	
32,97,	95	13	2	15	47952	48	1444	1	1	1	1	1	1437	7051	30	7	2	
32,98,	96	14	2	16	48319	48	1497	1	1	1	1	1	1490	7324	32	7	2	
32,99,	96	14	2	16	48333	48	1520	1	1	1	1	1	1513	7297	32	7	2	
33,34,	97	18	2	20	48570	48	1836	1	1	1	1	2	1796	12608	40	40	2	
33,35,	97	8	0	8	48605	48	676	0	0	0	0	1	676	4327	16	0	2	
33,36,	96	19	2	21	47432	47	2382	1	1	1	1	3	2379	12411	42	3	2	
33,37,	96	23	29	57	47624	46	15633	11	10	9	2	4	12932	38261	110	2547	1	
33,38,	97	8	0	8	48584	48	439	0	0	0	0	1	439	4605	16	0	2	
33,39,	97	8	0	8	48618	48	579	0	0	0	0	1	579	4793	16	0	2	
33,40,	96	16	0	16	48206	48	1013	0	0	0	0	2	1013	7510	32	0	2	
33,41,	96	14	4	18	48168	46	3113	1	1	1	1	2	2727	10968	36	386	2	
33,42,	96	17	20	37	48136	46	5134	2	2	2	1	1	2129	7200	74	3005	2	
33,43,	95	24	8	32	47335	47	8661	2	2	2	1	4	7400	24749	64	1261	1	
33,44,	97	12	3	15	48594	48	1489	1	1	1	1	1	1440	6960	30	49	2	
33,45,	97	11	0	11	48633	48	1128	0	0	0	0	1	1128	5067	22	0	2	
33,46,	97	8	0	8	48588	48	287	0	0	0	0	1	287	4617	16	0	2	
33,47,	96	9	0	9	48320	47	2632	0	0	0	0	1	2632	6515	18	0	2	
33,48,	97	7	0	7	48584	48	287	0	0	0	0	1	287	4412	14	0	2	
33,49,	97	7	0	7	48584	48	287	0	0	0	0	1	287	4412	14	0	2	
33,50,	96	17	0	17	48465	47	2517	0	0	0	0	1	2517	7115	34	0	2	
33,51,	97	7	0	7	48584	48	287	0	0	0	0	1	287	4412	14	0	2	
33,52,	97	23	0	23	48406	47	4498	0	0	0	0	5	4498	17252	46	0	2	
33,53,	97	20	0	20	48684	47	5764	0	0	0	0	1	5764	10020	40	0	2	
33,54,	97	8	0	8	48584	48	287	0	0	0	0	1	287	4621	16	0	2	
33,55,	97	8	0	8	48626	48	705	0	0	0	0	1	705	4403	16	0	2	
33,56,	95	24	8	32	47329	48	8554	2	2	2	1	4	8158	20762	62	396	2	
33,57,	97	11	0	11	48584	48	778	0	0	0	0	2	778	7241	22	0	2	
33,58,	97	8	0	8	48584	48	574	0	0	0	0	1	574	4696	16	0	2	
33,59,	96	8	0	8	48265	48	287	0	0	0	0	1	287	4445	16	0	2	
33,60,	97	10	0	10	48664	48	1321	0	0	0	0	1	1321	4972	20	0	2	
33,61,	96	10	0	10	48328	48	492	0	0	0	0	1	492	4781	20	0	2	
33,62,	96	15	0	15	48431	48	730	0	0	0	0	1	730	5120	30	0	2	
33,63,	96	9	0	9	47834	48	778	0	0	0	0	2	778	6681	18	0	2	
33,64,	97	12	3	15	48396	48	1891	1	1	1	1	3	1667	12786	30	224	2	
33,65,	97	8	0	8	48589	48	1047	0	0	0	0	1	1047	4971	16	0	2	
33,66,	97	7	0	7	48584	48	287	0	0	0	0	1	287	4412	14	0	2	
33,67,	97	7	0	7	48584	48	287	0	0	0	0	1	287	4412	14	0	2	
33,68,	95	50	62	116	45160	39	22736	18	18	16	1	10	13562	105755	214	9044	1	
33,69,	97	7	0	7	48591	47	287	0	0	0	0	1	287	6700	14	0	2	
33,70,	97	10	0	10	48381	45	1374	0	0	0	0	3	1374	14145	20	0	2	
33,71,	97	8	0	8	48611	48	375	0	0	0	0	1	375	5220	16	0	2	
33,72,	97	12	4	18	48168	47	2290	2	2	1	1	4	1815	18563	36	354	2	
33,73,	97	10	0	10	48600	47	641	0	0	0	0	1	641	6460	20	0	2	
33,74,	97	7	0	7	48623	48	287	0	0	0	0	1	287	4945	14	0	2	
33,75,	97	14	0	14	48323	47	4289	0	0	0	0	5	4289	15485	28	0	2	
33,76,	97	8	0	8	48652	48	287	0	0	0	0	1	287	5705	16	0	2	
33,77,	97	7	0	7	48575	48	287	0	0	0	0	1	287	4319	14	0	2	
33,78,	96	7	0	7	48208	48	287	0	0	0	0	1	287	4299	14	0	2	
33,79,	97	8	0	8	48590	47	358	0	0	0	0	1	358	6825	16	0	2	
33,80,	97	9	0	9	48575	48	823	0	0	0	0	1	823	5176	18	0	2	
33,81,	97	8	0	8	48652	48	287	0	0	0	0	1	287	5705	16	0	2	
33,82,	97	8	0	8	48518	48	287	0	0	0	0	1	287	5006	16	0	2	
33,83,	97	9	0	9	48576	48	627	0	0	0	0	1	627	4679	18	0	2	
33,84,	97	16	9	25	48009	46	3543	3	3	3	1	3	2557	17738	44	986	2	
33,85,	97	10	0	10	48616	47	544	0	0	0	0	1	544	6475	20	0	2	
33,86,	97	8	0	8	48610	47	460	0	0	0	0	1	460	6190	16	0	2	
33,87,	97	11	0	11	48355	48	1714	0	0	0	0	3	1714	8946	22	0	2	
33,88,	97	7	0	7	48495	48	287	0	0	0	0	1	287	5115	14	0	2	
33,89,	97	7	0	7	48590	47	287	0	0	0	0	1	287	6280	14	0	2	
33,90,	95	34	2	36	48160	47	5312	1	1	1	1	2	5093	13583	72	219	2	
33,91,	97	7	0	7	48641	48	287	0	0	0	0	1	287	5407	14	0	2	
33,92,	97	9	0	9	48488	47	507	0	0	0	0	1	507	5588	18	0	2	
33,93,	96	16	3	21	47778	47	2754	2	2	1	1	2	2277	10293	40	259	2	
33,94,	97	7	0	7	48499	48	287	0	0	0	0	1	287	5072	14	0	2	
33,95,	97	7	0	7	48575	48	287	0	0	0	0	1	287	4319	14	0	2	
33,96,	97	7	0	7	48591	47	287	0	0	0	0	1	287	6700	14	0	2	
33,97,	96	7	0	7	48208	48	287	0	0	0	0	1	287	4299	14	0	2	
33,98,	97	8	0	8	48576	48	340	0	0	0	0	1	340	4571	16	0	2	
33,99,	97	8	0	8	48590	48	363	0	0	0	0	1	363	4548	16	0	2	
34,35,	97	14	2	16	48538	48	1938	1	1	1	1	2	1898	11523	32	40	2	
34,36,	96	25	4	29	47368	47	3644	2	2	2	1	4	3601	19585	58	43	2	
34,37,	96	29	31	65	47557	46	16895	12	11	10	2	5	14154	45224	126	2587	1	
34,38,	97	14	2	16	48517	48	1701	1	1	1	1	2	1661	11825	32	40	2	
34,39,	97	14	2	16	48552	48	1841	1	1	1	1	2	1801	11988	32	40	2	
34,40,	96	22	2	24	48140	48	2275	1	1	1	1	3	2235	14712	48	40	2	
34,41,	96	20	6	26	48105	46	4375	2	2	2	1	3	3949	18122	52	426	2	
34,42,	96	23	22	45	48070	46	6396	3	3	3	1	2	3351	14422	90	3045	2	
34,43,	95	30	10	40	47280	47	9923	3	3	3	1	5	8622	31745	80	1301	1	
34,44,	97	18	5	23	48527	48	2751	2	2	2	1	2	2662	14159	46	89	2	
34,45,	97	17	2	19	48566	48	2390	1	1	1	1	2	2350	12281	38	40	2	
34,46,	97	14	2	16	48521	48	1549	1	1	1	1	2	1509	11843	32	40	2	
34,47,	96	15	2	17	48254	47	3894	1	1	1	1	2	3854	13770	34	40	2	
34,48,	97	13	2	15	48517	48	1549	1	1	1	1	2	1509	11634	30	40	2	
34,49,	97	13	2	15	48517	48	1549	1	1	1	1	2	1509	11634	30	40	2	
34,50,	96	23	2	25	48399	47	3779	1	1	1	1	2	3739	14336	50	40	2	
34,51,	97	13	2	15	48517	48	1549	1	1	1	1	2	1509	11634	30	40	2	
34,52,	97	29	2	31	48340	47	5760	1	1	1	1	6	5720	24373	62	40	2	
34,53,	97	26	2	28	48618	47	7026	1	1	1	1	2	6986	17244	56	40	2	
34,54,	97	14	2	16	48517	48	1549	1	1	1	1	2	1509	11843	32	40	2	
34,55,	97	14	2	16	48561	48	1967	1	1	1	1	2	1927	11556	32	40	2	
34,56,	95	30	10	40	47262	47	9816	3	3	3	1	5	9380	27893	78	436	1	
34,57,	97	17	2	19	48518	48	2040	1	1	1	1	3	2000	14458	38	40	2	
34,58,	97	14	2	16	48517	48	1836	1	1	1	1	2	1796	11917	32	40	2	
34,59,	96	14	2	16	48200	48	1549	1	1	1	1	2	1509	11665	32	40	2	
34,60,	97	16	2	18	48597	48	2583	1	1	1	1	2	2543	12212	36	40	2	
34,61,	96	16	2	18	48262	48	1754	1	1	1	1	2	1714	12000	36	40	2	
34,62,	96	21	2	23	48366	48	1992	1	1	1	1	2	1952	12338	46	40	2	
34,63,	96	15	2	17	47770	48	2040	1	1	1	1	3	2000	13888	34	40	2	
34,64,	97	18	5	23	48329	48	3153	2	2	2	1	4	2889	19991	46	264	2	
34,65,	97	14	2	16	48522	48	2309	1	1	1	1	2	2269	12213	32	40	2	
34,66,	97	13	2	15	48517	48	1549	1	1	1	1	2	1509	11634	30	40	2	
34,67,	97	13	2	15	48517	48	1549	1	1	1	1	2	1509	11634	30	40	2	
34,68,	95	56	66	124	45079	38	23998	19	19	18	1	11	14784	112831	230	9093	0	
34,69,	97	13	2	15	48524	47	1549	1	1	1	1	2	1509	13949	30	40	2	
34,70,	97	16	2	18	48312	45	2636	1	1	1	1	4	2596	21430	36	40	2	
34,71,	97	14	2	16	48544	48	1637	1	1	1	1	2	1597	12451	32	40	2	
34,72,	97	18	6	26	48097	47	3552	3	3	2	1	5	3037	25802	52	394	1	
34,73,	97	16	2	18	48533	47	1903	1	1	1	1	2	1863	13735	36	40	2	
34,74,	97	13	2	15	48557	48	1549	1	1	1	1	2	1509	12165	30	40	2	
34,75,	97	20	2	22	48257	47	5551	1	1	1	1	6	5511	22693	44	40	2	
34,76,	97	14	2	16	48586	48	1549	1	1	1	1	2	1509	12910	32	40	2	
34,77,	97	13	2	15	48509	48	1549	1	1	1	1	2	1509	11522	30	40	2	
34,78,	96	13	2	15	48144	48	1549	1	1	1	1	2	1509	11516	30	40	2	
34,79,	97	14	2	16	48523	47	1620	1	1	1	1	2	1580	14079	32	40	2	
34,80,	97	15	2	17	48509	48	2085	1	1	1	1	2	2045	12380	34	40	2	
34,81,	97	14	2	16	48586	48	1549	1	1	1	1	2	1509	12910	32	40	2	
34,82,	97	14	2	16	48452	48	1549	1	1	1	1	2	1509	12208	32	40	2	
34,83,	97	15	2	17	48510	48	1889	1	1	1	1	2	1849	11882	34	40	2	
34,84,	97	22	11	33	47942	46	4805	4	4	4	1	4	3779	24781	60	1026	1	
34,85,	97	16	2	18	48549	47	1806	1	1	1	1	2	1766	13699	36	40	2	
34,86,	97	14	2	16	48544	47	1722	1	1	1	1	2	1682	13428	32	40	2	
34,87,	97	17	2	19	48290	48	2976	1	1	1	1	4	2936	16157	38	40	2	
34,88,	97	13	2	15	48429	48	1549	1	1	1	1	2	1509	12324	30	40	2	
34,89,	97	13	2	15	48523	47	1549	1	1	1	1	2	1509	13531	30	40	2	
34,90,	95	40	4	44	48088	47	6574	2	2	2	1	3	6315	20347	86	259	2	
34,91,	97	13	2	15	48575	48	1549	1	1	1	1	2	1509	12618	30	40	2	
34,92,	97	15	2	17	48422	47	1769	1	1	1	1	2	1729	12800	34	40	2	
34,93,	96	22	5	29	47712	47	4016	3	3	2	1	3	3499	17418	56	299	2	
34,94,	97	13	2	15	48433	48	1549	1	1	1	1	2	1509	12280	30	40	2	
34,95,	97	13	2	15	48509	48	1549	1	1	1	1	2	1509	11522	30	40	2	
34,96,	97	13	2	15	48524	47	1549	1	1	1	1	2	1509	13949	30	40	2	
34,97,	96	13	2	15	48144	48	1549	1	1	1	1	2	1509	11516	30	40	2	
34,98,	97	14	2	16	48510	48	1602	1	1	1	1	2	1562	11772	32	40	2	
34,99,	97	14	2	16	48524	48	1625	1	1	1	1	2	1585	11749	32	40	2	
35,36,	96	15	2	17	47400	47	2484	1	1	1	1	3	2481	11344	34	3	2	
35,37,	96	19	29	53	47589	46	15735	11	10	9	2	4	13034	37317	102	2547	1	
35,38,	97	4	0	4	48552	48	541	0	0	0	0	1	541	3540	8	0	2	
35,39,	97	4	0	4	48585	48	681	0	0	0	0	1	681	3745	8	0	2	
35,40,	96	12	0	12	48174	48	1115	0	0	0	0	2	1115	6433	24	0	2	
35,41,	96	10	4	14	48125	46	3215	1	1	1	1	2	2829	10185	28	386	2	
35,42,	96	13	20	33	48104	47	5236	2	2	2	1	1	2231	6132	66	3005	2	
35,43,	95	20	8	28	47301	47	8763	2	2	2	1	4	7502	23709	56	1261	1	
35,44,	97	8	3	11	48559	48	1591	1	1	1	1	1	1542	5947	22	49	2	
35,45,	97	7	0	7	48601	48	1230	0	0	0	0	1	1230	4019	14	0	2	
35,46,	97	4	0	4	48556	48	389	0	0	0	0	1	389	3552	8	0	2	
35,47,	96	5	0	5	48288	47	2734	0	0	0	0	1	2734	5501	10	0	2	
35,48,	97	3	0	3	48552	48	389	0	0	0	0	1	389	3346	6	0	2	
35,49,	97	3	0	3	48552	48	389	0	0	0	0	1	389	3346	6	0	2	
35,50,	96	13	0	13	48433	47	2619	0	0	0	0	1	2619	6042	26	0	2	
35,51,	97	3	0	3	48552	48	389	0	0	0	0	1	389	3346	6	0	2	
35,52,	97	19	0	19	48374	47	4600	0	0	0	0	5	4600	16173	38	0	2	
35,53,	97	16	0	16	48652	47	5866	0	0	0	0	1	5866	9016	32	0	2	
35,54,	97	4	0	4	48552	48	389	0	0	0	0	1	389	3556	8	0	2	
35,55,	97	4	0	4	48596	48	807	0	0	0	0	1	807	3268	8	0	2	
35,56,	95	20	8	28	47297	48	8656	2	2	2	1	4	8260	19746	54	396	2	
35,57,	97	7	0	7	48552	48	880	0	0	0	0	2	880	6205	14	0	2	
35,58,	97	4	0	4	48552	48	676	0	0	0	0	1	676	3628	8	0	2	
35,59,	96	4	0	4	48232	48	389	0	0	0	0	1	389	3381	8	0	2	
35,60,	97	6	0	6	48631	48	1423	0	0	0	0	1	1423	3969	12	0	2	
35,61,	96	6	0	6	48295	48	594	0	0	0	0	1	594	3721	12	0	2	
35,62,	96	11	0	11	48399	48	832	0	0	0	0	1	832	4045	22	0	2	
35,63,	96	5	0	5	47800	48	880	0	0	0	0	2	880	5627	10	0	2	
35,64,	97	8	3	11	48364	48	1993	1	1	1	1	3	1769	11737	22	224	2	
35,65,	97	4	0	4	48557	48	1149	0	0	0	0	1	1149	3957	8	0	2	
35,66,	97	3	0	3	48552	48	389	0	0	0	0	1	389	3346	6	0	2	
35,67,	97	3	0	3	48552	48	389	0	0	0	0	1	389	3346	6	0	2	
35,68,	95	46	69	117	44886	38	23426	19	17	18	2	11	13664	108899	210	9641	0	
35,69,	97	3	0	3	48559	47	389	0	0	0	0	1	389	5645	6	0	2	
35,70,	97	6	0	6	48349	45	1476	0	0	0	0	3	1476	13126	12	0	2	
35,71,	97	4	0	4	48579	48	477	0	0	0	0	1	477	4143	8	0	2	
35,72,	97	8	4	14	48136	47	2392	2	2	1	1	4	1917	17494	28	354	2	
35,73,	97	6	0	6	48568	47	743	0	0	0	0	1	743	5379	12	0	2	
35,74,	97	3	0	3	48591	48	389	0	0	0	0	1	389	3866	6	0	2	
35,75,	97	10	0	10	48291	47	4391	0	0	0	0	5	4391	14420	20	0	2	
35,76,	97	4	0	4	48620	48	389	0	0	0	0	1	389	4633	8	0	2	
35,77,	97	3	0	3	48543	48	389	0	0	0	0	1	389	3249	6	0	2	
35,78,	96	3	0	3	48176	48	389	0	0	0	0	1	389	3227	6	0	2	
35,79,	97	4	0	4	48558	47	460	0	0	0	0	1	460	5774	8	0	2	
35,80,	97	5	0	5	48543	48	925	0	0	0	0	1	925	4112	10	0	2	
35,81,	97	4	0	4	48620	48	389	0	0	0	0	1	389	4633	8	0	2	
35,82,	97	4	0	4	48486	48	389	0	0	0	0	1	389	3933	8	0	2	
35,83,	97	5	0	5	48544	48	729	0	0	0	0	1	729	3650	10	0	2	
35,84,	97	12	7	19	48070	46	3256	2	2	2	1	3	2659	15083	32	597	2	
35,85,	97	6	0	6	48563	47	646	0	0	0	0	1	646	5504	10	0	2	
35,86,	97	4	0	4	48578	47	562	0	0	0	0	1	562	5145	8	0	2	
35,87,	97	7	0	7	48323	49	1816	0	0	0	0	3	1816	7894	14	0	2	
35,88,	97	3	0	3	48463	48	389	0	0	0	0	1	389	4042	6	0	2	
35,89,	97	3	0	3	48558	47	389	0	0	0	0	1	389	5225	6	0	2	
35,90,	95	30	2	32	48131	47	5414	1	1	1	1	2	5195	12444	64	219	2	
35,91,	97	3	0	3	48609	48	389	0	0	0	0	1	389	4332	6	0	2	
35,92,	97	5	0	5	48456	47	609	0	0	0	0	1	609	4515	10	0	2	
35,93,	96	12	3	17	47748	47	2856	2	2	1	1	2	2379	9194	32	259	2	
35,94,	97	3	0	3	48467	48	389	0	0	0	0	1	389	4001	6	0	2	
35,95,	97	3	0	3	48543	48	389	0	0	0	0	1	389	3249	6	0	2	
35,96,	97	3	0	3	48559	47	389	0	0	0	0	1	389	5645	6	0	2	
35,97,	96	3	0	3	48176	48	389	0	0	0	0	1	389	3227	6	0	2	
35,98,	97	4	0	4	48544	48	442	0	0	0	0	1	442	3502	8	0	2	
35,99,	97	4	0	4	48558	48	465	0	0	0	0	1	465	3473	8	0	2	
36,37,	95	30	31	66	46464	45	17441	12	11	10	2	6	14737	44968	128	2550	1	
36,38,	96	15	2	17	47379	47	2247	1	1	1	1	3	2244	11645	34	3	2	
36,39,	96	15	2	17	47414	47	2387	1	1	1	1	3	2384	11810	34	3	2	
36,40,	95	23	2	25	47010	47	2821	1	1	1	1	4	2818	14502	50	3	2	
36,41,	95	21	6	27	46977	45	4921	2	2	2	1	4	4532	17926	54	389	2	
36,42,	95	24	22	46	46945	45	6942	3	3	3	1	3	3934	14233	92	3008	2	
36,43,	94	31	10	41	46169	46	10469	3	3	3	1	6	9205	31560	82	1264	1	
36,44,	96	19	5	24	47394	47	3297	2	2	2	1	3	3245	13949	48	52	2	
36,45,	96	18	2	20	47428	47	2936	1	1	1	1	3	2933	12102	40	3	2	
36,46,	96	15	2	17	47383	47	2095	1	1	1	1	3	2092	11658	34	3	2	
36,47,	95	16	2	18	47119	46	4440	1	1	1	1	3	4437	13553	36	3	2	
36,48,	96	14	2	16	47379	47	2095	1	1	1	1	3	2092	11454	32	3	2	
36,49,	96	14	2	16	47379	47	2095	1	1	1	1	3	2092	11454	32	3	2	
36,50,	95	24	2	26	47264	46	4325	1	1	1	1	3	4322	14134	52	3	2	
36,51,	96	14	2	16	47379	47	2095	1	1	1	1	3	2092	11454	32	3	2	
36,52,	96	30	2	32	47149	46	6306	1	1	1	1	8	6303	26500	64	3	1	
36,53,	96	27	2	29	47479	46	7572	1	1	1	1	3	7569	17077	58	3	2	
36,54,	96	15	2	17	47379	47	2095	1	1	1	1	3	2092	11664	34	3	2	
36,55,	96	15	2	17	47423	47	2513	1	1	1	1	3	2510	11378	34	3	2	
36,56,	94	31	10	41	46152	47	10362	3	3	3	1	6	9963	27597	80	399	1	
36,57,	96	18	2	20	47380	47	2586	1	1	1	1	4	2583	14245	40	3	2	
36,58,	96	15	2	17	47379	47	2382	1	1	1	1	3	2379	11734	34	3	2	
36,59,	95	15	2	17	47064	47	2095	1	1	1	1	3	2092	11486	34	3	2	
36,60,	96	17	2	19	47459	47	3129	1	1	1	1	3	3126	12019	38	3	2	
36,61,	95	17	2	19	47127	47	2300	1	1	1	1	3	2297	11818	38	3	2	
36,62,	95	22	2	24	47230	47	2538	1	1	1	1	3	2535	12149	48	3	2	
36,63,	95	16	2	18	46638	47	2586	1	1	1	1	4	2583	13709	36	3	2	
36,64,	96	19	5	24	47194	47	3699	2	2	2	1	5	3472	19760	48	227	2	
36,65,	96	15	2	17	47384	47	2855	1	1	1	1	3	2852	12029	34	3	2	
36,66,	96	14	2	16	47379	47	2095	1	1	1	1	3	2092	11454	32	3	2	
36,67,	96	14	2	16	47379	47	2095	1	1	1	1	3	2092	11454	32	3	2	
36,68,	94	57	66	125	44005	38	24544	19	19	18	1	12	15367	112475	232	9056	0	
36,69,	96	14	2	16	47386	46	2095	1	1	1	1	3	2092	13750	32	3	2	
36,70,	96	17	2	19	47178	44	3182	1	1	1	1	5	3179	21196	38	3	2	
36,71,	96	15	2	17	47406	47	2183	1	1	1	1	3	2180	12252	34	3	2	
36,72,	96	19	6	27	46968	46	4098	3	3	2	1	6	3620	25522	54	357	1	
36,73,	96	17	2	19	47395	46	2449	1	1	1	1	3	2446	13517	38	3	2	
36,74,	96	14	2	16	47418	47	2095	1	1	1	1	3	2092	11974	32	3	2	
36,75,	96	21	2	23	47122	46	6097	1	1	1	1	7	6094	22445	46	3	1	
36,76,	96	15	2	17	47447	47	2095	1	1	1	1	3	2092	12710	34	3	2	
36,77,	96	14	2	16	47370	47	2095	1	1	1	1	3	2092	11365	32	3	2	
36,78,	95	14	2	16	47005	47	2095	1	1	1	1	3	2092	11355	32	3	2	
36,79,	96	15	2	17	47385	46	2166	1	1	1	1	3	2163	13876	34	3	2	
36,80,	96	16	2	18	47370	47	2631	1	1	1	1	3	2628	12221	36	3	2	
36,81,	96	15	2	17	47447	47	2095	1	1	1	1	3	2092	12710	34	3	2	
36,82,	96	15	2	17	47317	47	2095	1	1	1	1	3	2092	12016	34	3	2	
36,83,	96	16	2	18	47371	47	2435	1	1	1	1	3	2432	11721	36	3	2	
36,84,	96	23	11	34	46809	45	5351	4	4	4	1	5	4362	24728	62	989	1	
36,85,	96	17	2	19	47411	46	2352	1	1	1	1	3	2349	13500	38	3	2	
36,86,	96	15	2	17	47405	46	2268	1	1	1	1	3	2265	13239	34	3	2	
36,87,	96	18	2	20	47152	47	3522	1	1	1	1	5	3519	15979	40	3	2	
36,88,	96	14	2	16	47294	47	2095	1	1	1	1	3	2092	12128	32	3	2	
36,89,	96	14	2	16	47385	46	2095	1	1	1	1	3	2092	13333	32	3	2	
36,90,	94	41	4	45	46967	46	7120	2	2	2	1	4	6898	20529	90	222	2	
36,91,	96	14	2	16	47436	47	2095	1	1	1	1	3	2092	12423	32	3	2	
36,92,	96	16	2	18	47287	46	2315	1	1	1	1	3	2312	12604	36	3	2	
36,93,	95	23	5	30	46588	46	4562	3	3	2	1	4	4082	17255	58	262	2	
36,94,	96	14	2	16	47298	47	2095	1	1	1	1	3	2092	12085	32	3	2	
36,95,	96	14	2	16	47370	47	2095	1	1	1	1	3	2092	11365	32	3	2	
36,96,	96	14	2	16	47386	46	2095	1	1	1	1	3	2092	13750	32	3	2	
36,97,	95	14	2	16	47005	47	2095	1	1	1	1	3	2092	11355	32	3	2	
36,98,	96	15	2	17	47371	47	2148	1	1	1	1	3	2145	11617	34	3	2	
36,99,	96	15	2	17	47385	47	2171	1	1	1	1	3	2168	11600	34	3	2	
37,38,	96	19	27	51	47688	46	15346	10	9	8	2	4	12797	35624	98	2395	1	
37,39,	96	19	29	53	47603	46	15638	11	10	9	2	4	12937	37646	102	2547	1	
37,40,	95	27	29	61	47212	46	16072	11	10	9	2	5	13371	40300	118	2547	1	
37,41,	95	25	46	76	47019	45	20199	15	13	13	2	5	15085	51441	148	4960	1	
37,42,	94	28	84	117	45576	42	27515	17	15	15	2	7	14487	80514	212	12874	1	
37,43,	92	35	109	151	44748	40	36977	22	19	19	2	9	19758	98248	274	17059	0	
